15:43:35.207	127.0.0.1:52360	admin	OK		0.17 ms
15:43:37.086	127.0.0.1:52362	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopSongsPT()	0.14 ms
15:43:37.092	127.0.0.1:52362	admin	OK	EXEC[0]	6.15 ms
15:43:37.093	127.0.0.1:52362	admin	OK	CLOSE[0]	0.06 ms
15:43:37.093	127.0.0.1:52362	admin	REQUEST	EXIT	0.44 ms
15:43:37.093	127.0.0.1:52362	admin	OK		0.18 ms
15:43:37.095	127.0.0.1:52363	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:trackFromPlaylist()	0.15 ms
15:43:37.099	127.0.0.1:52363	admin	OK	EXEC[0]	4.02 ms
15:43:37.099	127.0.0.1:52363	admin	OK	CLOSE[0]	0.05 ms
15:43:37.100	127.0.0.1:52363	admin	REQUEST	EXIT	0.43 ms
15:43:37.100	127.0.0.1:52363	admin	OK		0.18 ms
15:43:38.629	127.0.0.1:52365	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo("The Weeknd")	0.14 ms
15:43:38.636	127.0.0.1:52365	admin	OK	EXEC[0]	6.36 ms
15:43:38.636	127.0.0.1:52365	admin	OK	CLOSE[0]	0.06 ms
15:43:38.637	127.0.0.1:52365	admin	REQUEST	EXIT	0.35 ms
15:43:38.637	127.0.0.1:52365	admin	OK		0.15 ms
15:43:41.097	127.0.0.1:52367	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:trackFromPlaylist()	0.18 ms
15:43:41.102	127.0.0.1:52367	admin	OK	EXEC[0]	5.46 ms
15:43:41.103	127.0.0.1:52367	admin	OK	CLOSE[0]	0.06 ms
15:43:41.103	127.0.0.1:52367	admin	REQUEST	EXIT	0.44 ms
15:43:41.103	127.0.0.1:52367	admin	OK		0.2 ms
15:43:42.721	127.0.0.1:52369	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo("Wallows")	0.13 ms
15:43:42.726	127.0.0.1:52369	admin	OK	EXEC[0]	5.05 ms
15:43:42.726	127.0.0.1:52369	admin	OK	CLOSE[0]	0.06 ms
